version,Participant Private ID,condition,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Response,Correct,Reaction Time
18,13318377.0,condition-3,11.0,i6,interoceptive,i6kh-girigiri.mp4,i6hk-noNbiri.mp4,i6hk-noNbiri.mp4,"at leisure, in a relaxed manner",i6kh-girigiri.mp4,0,11173.19999998808
18,13318377.0,condition-3,12.0,i8,interoceptive,i8kh-dokiri.mp4,i8hk-hotto.mp4,i8hk-hotto.mp4,with a feeling of relief,i8kh-dokiri.mp4,0,13860.500000011933
18,13318377.0,condition-3,13.0,a6,auditory,a6hk-dosari.mp4,a6kh-katitto.mp4,a6hk-dosari.mp4,with a thud,a6kh-katitto.mp4,0,73858.99999997613
18,13318377.0,condition-3,14.0,v3,visual,v3kh-hirahira.mp4,v3hk-pitari.mp4,v3kh-hirahira.mp4,"fluttering, dangling",v3kh-hirahira.mp4,1,8657.0
18,13318377.0,condition-3,15.0,i3,interoceptive,i3hk-sukkiri.mp4,i3kh-iraira.mp4,i3kh-iraira.mp4,"to get irritated, annoyed",i3kh-iraira.mp4,1,16844.80000001192
18,13318377.0,condition-3,16.0,a1,auditory,a1hk-sitosito.mp4,a1kh-batyabatya.mp4,a1kh-batyabatya.mp4,splashing,a1hk-sitosito.mp4,0,22140.49999997613
18,13318377.0,condition-3,17.0,v2,visual,v2hk-doNyori.mp4,v2kh-kirakira.mp4,v2hk-doNyori.mp4,"dark, gloomy",v2hk-doNyori.mp4,1,10887.10000001191
18,13318377.0,condition-3,18.0,i9,interoceptive,i9kh-dokidoki.mp4,i9hk-yuttari.mp4,i9kh-dokidoki.mp4,with a rapid heartbeat,i9kh-dokidoki.mp4,1,19995.099999988102
18,13318377.0,condition-3,19.0,i0,interoceptive,i0kh-wakuwaku.mp4,i0hk-uNzari.mp4,i0hk-uNzari.mp4,"boredom, tedious, fed up with",i0kh-wakuwaku.mp4,0,12358.799999988056
18,13318377.0,condition-3,20.0,a4,auditory,a4hk-zuruzuru.mp4,a4kh-poripori.mp4,a4hk-zuruzuru.mp4,with a slurp,a4hk-zuruzuru.mp4,1,24275.80000001192
18,13318377.0,condition-3,21.0,a0,auditory,a0hk-gosogoso.mp4,a0kh-katakata.mp4,a0hk-gosogoso.mp4,with a rustling sound,a0kh-katakata.mp4,0,16185.100000011967
18,13318377.0,condition-3,22.0,a9,auditory,a9hk-mogomogo.mp4,a9kh-sakutto.mp4,a9kh-sakutto.mp4,with a crunch,a9kh-sakutto.mp4,1,29815.39999997616
18,13318377.0,condition-3,23.0,i5,interoceptive,i5hk-nobinobi.mp4,i5kh-harahara.mp4,i5kh-harahara.mp4,"anxious, nervous",i5hk-nobinobi.mp4,0,10842.0
18,13318377.0,condition-3,24.0,i1,interoceptive,i1kh-gatugatu.mp4,i1hk-geNnari.mp4,i1kh-gatugatu.mp4,"ravenously, greedily",i1kh-gatugatu.mp4,1,12022.300000000048
18,13318377.0,condition-3,25.0,a2,auditory,a2kh-potapota.mp4,a2hk-zyaazyaa.mp4,a2hk-zyaazyaa.mp4,noisily gushing,a2kh-potapota.mp4,0,8949.800000000163
18,13318377.0,condition-3,26.0,v9,visual,v9hk-mukumuku.mp4,v9kh-bosabosa.mp4,v9kh-bosabosa.mp4,"ruffled, disheveled",v9kh-bosabosa.mp4,1,9319.899999976158
18,13318377.0,condition-3,27.0,i7,interoceptive,i7hk-hokkori.mp4,i7kh-zokuzoku.mp4,i7kh-zokuzoku.mp4,"shivering, feeling chilly",i7kh-zokuzoku.mp4,1,22960.199999999957
18,13318377.0,condition-3,28.0,i4,interoceptive,i4hk-tyaNto.mp4,i4kh-dogimagi.mp4,i4hk-tyaNto.mp4,"attentive, proper attitude",i4hk-tyaNto.mp4,1,25890.29999996419
18,13318377.0,condition-3,29.0,a8,auditory,a8kh-kyaakyaa.mp4,a8hk-bosori.mp4,a8hk-bosori.mp4,"in a whisper, in a murmur",a8kh-kyaakyaa.mp4,0,9063.599999988102
18,13318377.0,condition-3,30.0,i2,interoceptive,i2kh-ruNruN.mp4,i2hk-syoboN.mp4,i2hk-syoboN.mp4,"downhearted, dejected",i2kh-ruNruN.mp4,0,25855.99999996426
18,13328943.0,condition-2,1.0,a7,auditory,a7hh-dosidosi.mp4,a7kk-gisigisi.mp4,a7kk-gisigisi.mp4,"with a creak, squeak",a7kk-gisigisi.mp4,1,31821.899999999998
18,13328943.0,condition-2,2.0,a6,auditory,a6hh-dosari.mp4,a6kk-katitto.mp4,a6hh-dosari.mp4,with a thud,a6kk-katitto.mp4,0,46907.7000000001
